rank,fame,deaths,accountAge,characters,skins,verified
41,6718,12,21,5,2,1
74,919,50,730,2,2,1
42,4284,44,3285,2,10,1
36,1963,65,1095,2,13,1
40,961,107,223,3,3,1
80,7950,72,57,5,19,1
38,546,104,730,1,6,0
78,1832,338,152,6,26,1
44,10462,49,1460,3,6,1
79,13641,22,730,6,27,1
80,6919,159,275,4,20,1
45,12075,61,2920,4,11,1
64,8086,65,2920,7,4,1
47,883,345,2555,2,22,1
32,956,2,14,2,0,0
80,19341,34,730,3,45,1
74,971,201,2555,4,4,1
76,4831,76,730,2,7,1
39,576,114,163,2,0,1
11,2437,0,365,2,0,0
49,61,649,1095,4,17,1
12,1576,3,8,2,0,0
10,8891,1,514,1,0,0
80,671,273,730,1,32,1
22,2611,5,55,2,1,0
44,240,213,1460,2,5,1
36,4123,59,1098,5,0,1
67,1678,3,94,2,1,1
55,759,636,1460,2,21,1
17,438,27,384,2,1,0
41,590,100,1460,1,10,0
20,1898,0,4,2,0,0
55,351,142,1460,2,3,1
45,862,50,87,2,4,1
20,2372,0,3,2,0,0
71,7,20,21,2,2,0
57,3009,119,267,9,6,1
30,8169,0,2555,4,0,1
52,3793,213,273,2,0,1
46,581,261,271,2,2,1
72,453,103,1127,3,25,1
35,1636,59,1460,3,0,1
68,21277,53,2920,15,34,1
47,12633,47,1095,7,12,1
74,663,185,235,2,2,1
5,636,2,1,2,1,0
63,1544,17,1095,2,1,1
52,681,2161,1825,3,21,1
57,3464,12,40,3,3,1
64,381,21,86,2,1,1
65,15,474,730,1,26,1
75,354,127,1460,1,6,1
55,2918,22,2190,5,5,1
11,7296,2,1825,1,0,1
50,13932,98,2190,9,23,1
59,12357,60,2920,10,13,1
71,623,306,1095,2,10,1
29,13337,2,365,2,4,1
29,65,2,35,2,0,0
80,39,225,730,2,39,1
60,660,251,2190,5,11,1
43,4212,63,365,3,5,1
75,920,334,2190,2,57,1
79,160,307,1825,1,13,1
64,1915,35,1460,3,15,1
