Column1,Column2
I unprivated everything except my last known location,"There’s a save button at the bottom of the realmeye settings page that you have to press to save your settings - that also takes about a minute to update! You can always hop on incognito to see if your realmeye is now public. If this doesn’t help, feel free to DM <@1035901429841412107> (tag:carrowotine) :>"
"Hello i just got back to rotmg , i used a new discord account because i forgot my old discord account . however i still use the same rotmg account as 2 years ago . I cant verify because it says there was already a member verified (old me )",Hellos! Feel free to drop me <@1035901429841412107> (tag:carrowotine) a message and we can sort it out :>
😦 can i send foot pic for early unsuspend,if you send a feet pic i’ll perma suspend u
how long,"Hello! If you’re referring to your suspension, it will end in about eight hours."
hello¿?,"Hi there, thanks for reaching out¡! How can we help you today?"
i cant send images here dm me please,"You can DM me, Sea, or you can DM pots if you think it's more HRL related"
idk what to do help me,"Hey Bino, what's up?"
i didn't even made it in to the riad i got dcded what are u talking bout,Hello! Please get into contact with <@1035901429841412107> (tag: carrowotine) for more details as they are the one that issued the warning.
"Ingame named changed to Yari, please change it in discord","Hey there, you can go to <#347885015964712970> and type `;cn Yari` and that should change your name if your realmeye name history is set to public."
"Wanted to shout out LordDaedra for amazing O3 runs. He is phenomenal in calling out every aspect of the raid in a clear and concise way, and runs with him are a breeze no matter what class/equipment you are bringing to the raid. Dude deserves recognition!","Hi, we're glad you had a great experience with his runs! Thank you for the detailed feedback, this information will be passed onto upper staff. Have a great day!"
Nice mace btw,How wonderful to hear! We'll pass this on.
can i change my discord acc,"Yes, contact any online security with a screenshot of you in your vault saying your Discord name. :)"
"thank you excel for my 1st shatts complete, it was super good calls, thank you excel","Congrats on your first complete! Thank you for letting us know, we'll be sure to forward this to the HRLs :>"
"Zongi as an RL for famecults did overall a decent job. He needs more practice running these though. Would rec he work on his calls. He needs to be more specific and be more in control. Don't allow raiders to disobey you, make sure they know there will be consequences if they do and follow through. If they know they can get away with it of course they will keep doing it. Overall decent experience though.","Hi, we appreciate the feedback. Zongi did just get fame leader so he is still working on improving his calls and will likely continue to work on group control as he runs more. As he mentioned, those runs were his first runs as fame leader so it is to be expected that there will be some growing pains."
Hi I would like to appeal my blacklist in lost halls/osanc I have no recollection of getting blacklisted and am unsure why I am blacklisted so it would be appreciated if an explination was given at the very least,Hello! This account was blacklisted as you had a different account <@676474503047544856> verified with pubhalls back then. Feel free to reach out to <@1035901429841412107> carrowotine if you'd like to verify again :>
Makekills ignored numerous cru calls and left several members stranded.,"Thank you for letting us know, we'll be sure to forward this to the HRLs."
"hello modmail, i would like to report sadturtl for eating cats",nom nom
I cant get verification to work,Hello! Feel free to drop <@1035901429841412107> carrowotine a message :>
What is this warning in reference to? I believe this is a mistake.,"Hello! The warning was issued by <@722057363762315294> `DragansMum`, please reach out to him to discuss."
someone tell stumped that he needs to text her back,"Thanks for your concern, we will get right on that!"
